Zip,State,Population
35004,AL,6055
35005,AL,10616
35006,AL,3205
35007,AL,14218
35010,AL,19942
35014,AL,3062
35016,AL,13650
35019,AL,1781
35020,AL,40549
35023,AL,39677
35031,AL,9058
35033,AL,3448
35034,AL,3791
35035,AL,1282
35040,AL,4675
35042,AL,4902
35043,AL,4781
35044,AL,7985
35045,AL,13990
35049,AL,2369
35051,AL,4486
35053,AL,2270
35054,AL,4171
35055,AL,31708
35061,AL,1476
35062,AL,11017
35063,AL,2429
35064,AL,12106
35068,AL,5909
35071,AL,17968
35072,AL,3813
35073,AL,4429
35077,AL,10186
35078,AL,4905
35079,AL,6533
35080,AL,9938
35083,AL,3838
35085,AL,7202
35087,AL,987
35089,AL,1584
35091,AL,1045
35094,AL,10421
35096,AL,5033
35098,AL,2379
35111,AL,8147
35114,AL,3727
35115,AL,11638
35116,AL,3622
35117,AL,3841
35118,AL,3948
35120,AL,1123
35121,AL,8956
35124,AL,7412
35125,AL,17981
35126,AL,17068
35127,AL,8458
35130,AL,2198
35131,AL,2797
35133,AL,6013
35135,AL,1004
35136,AL,1819
35143,AL,1846
35146,AL,8723
35147,AL,617
35148,AL,3066
35150,AL,24424
35160,AL,29778
35171,AL,4131
35172,AL,909
35173,AL,13367
35175,AL,4921
35176,AL,1066
35178,AL,295
35179,AL,8852
35180,AL,530
35183,AL,1249
35184,AL,5276
35186,AL,5224
35188,AL,691
35203,AL,4064
35204,AL,18193
35205,AL,23024
35206,AL,22050
35207,AL,13901
35208,AL,19328
35209,AL,24973
35210,AL,15047
35211,AL,35836
35212,AL,17865
35213,AL,13191
35214,AL,23293
35215,AL,43862
35216,AL,29224
35217,AL,17366
35218,AL,12137
35221,AL,5850
35222,AL,10035
35223,AL,11117
35224,AL,7894
35226,AL,23992
35228,AL,9294
35233,AL,842
35234,AL,10928
35235,AL,15873
35242,AL,16228
35243,AL,13091
35244,AL,9758
35401,AL,42124
35404,AL,21997
35405,AL,23663
35406,AL,12578
35441,AL,1745
35442,AL,5196
35443,AL,1073
35444,AL,2319
35446,AL,1662
35447,AL,5007
35452,AL,5747
35453,AL,4727
35456,AL,5514
35457,AL,223
35458,AL,809
35459,AL,491
35460,AL,1391
35461,AL,719
35462,AL,6586
35463,AL,2100
35464,AL,1051
35466,AL,4333
35469,AL,373
35470,AL,6055
35474,AL,2659
35476,AL,20114
35480,AL,927
35481,AL,4062
35490,AL,1234
35501,AL,30600
35540,AL,3263
35541,AL,2645
35542,AL,651
35543,AL,3748
35544,AL,1014
35546,AL,4887
35548,AL,2515
35549,AL,3597
35550,AL,5273
35552,AL,938
35553,AL,4797
35554,AL,421
35555,AL,10776
35563,AL,3948
35564,AL,2828
35565,AL,9141
35570,AL,11184
35571,AL,798
35572,AL,429
35574,AL,3618
35575,AL,1778
35576,AL,2286
35578,AL,5004
35579,AL,3700
35580,AL,4775
35581,AL,5345
35582,AL,5159
35585,AL,465
35586,AL,4489
35587,AL,1819
35592,AL,4752
35593,AL,888
35594,AL,6750
35601,AL,36696
35603,AL,17861
35610,AL,2039
35611,AL,35441
35616,AL,4811
35618,AL,2733
35619,AL,4614
35620,AL,8013
35621,AL,3977
35622,AL,5392
35630,AL,38725
35633,AL,16478
35640,AL,17963
35643,AL,1967
35645,AL,11758
35646,AL,3046
35647,AL,3108
35648,AL,2241
35650,AL,17288
35651,AL,1821
35652,AL,6521
35653,AL,17767
35660,AL,10685
35661,AL,11777
35670,AL,5184
35671,AL,2578
35672,AL,9049
35673,AL,1758
35674,AL,17880
35677,AL,1899
35739,AL,1898
35740,AL,3988
35741,AL,1793
35744,AL,2948
35745,AL,718
35746,AL,396
35747,AL,8345
35748,AL,4642
35749,AL,5701
35750,AL,7751
35751,AL,260
35752,AL,2038
35754,AL,7040
35755,AL,1041
35758,AL,24398
35759,AL,2597
35760,AL,4075
35761,AL,5825
35763,AL,3156
35764,AL,553
35765,AL,3717
35766,AL,273
35768,AL,16934
35771,AL,2590
35772,AL,5210
35773,AL,5953
35774,AL,381
35775,AL,667
35776,AL,2222
35801,AL,25513
35802,AL,21069
35803,AL,23380
35805,AL,24637
35806,AL,10121
35808,AL,4988
35810,AL,32896
35811,AL,19008
35816,AL,13736
35824,AL,770
35901,AL,44165
35903,AL,20057
35904,AL,7002
35905,AL,4256
35950,AL,21033
