State/Zip,2000 Population
AL35004,6998
AL35005,8985
AL35006,3109
AL35007,20157
AL35010,21732
AL35014,4480
AL35016,15619
AL35019,2097
AL35020,31627
AL35022,14042
AL35023,25153
AL35031,7640
AL35033,3516
AL35034,5511
AL35035,1488
AL35036,375
AL35040,7157
AL35042,5083
AL35043,4227
AL35044,7622
AL35045,13366
AL35046,4602
AL35049,3223
AL35051,7414
AL35052,278
AL35053,2493
AL35054,4090
AL35055,18711
AL35057,11672
AL35058,9850
AL35060,638
AL35061,1403
AL35062,7556
AL35063,3425
AL35064,12879
AL35068,5773
AL35070,305
AL35071,13484
AL35072,5280
AL35073,2694
AL35074,164
AL35077,12706
AL35078,2740
AL35079,7150
AL35080,11735
AL35082,31
AL35083,2958
AL35085,8089
AL35087,1994
AL35089,2365
AL35091,1198
AL35094,12869
AL35096,6736
AL35097,1837
AL35098,1339
AL350HH,0
AL350XX,28
AL35111,10784
AL35112,562
AL35114,4114
AL35115,14941
AL35116,3835
AL35117,4783
AL35118,3625
AL35119,63
AL35120,7427
AL35121,14201
AL35124,16781
AL35125,9385
AL35126,19816
AL35127,10250
AL35128,7294
AL35130,3971
AL35131,4237
AL35133,3977
AL35135,1436
AL35136,1622
AL35139,107
AL35143,3337
AL35146,8194
AL35147,3146
AL35148,3369
AL35149,599
AL35150,18592
AL35151,8235
AL35160,27700
AL35171,2843
AL35172,2222
AL35173,18789
AL35175,5020
AL35176,928
AL35178,3152
AL35179,8910
AL35180,13225
AL35183,427
AL35184,5433
AL35186,3870
AL35188,2380
AL351HH,0
AL351XX,121
AL35203,3717
AL35204,15144
AL35205,21158
AL35206,21803
AL35207,11218
AL35208,17572
AL35209,30754
AL35210,13724
AL35211,30310
AL35212,15905
AL35213,13807
AL35214,21611
AL35215,46541
AL35216,31417
AL35217,15540
AL35218,9930
AL35221,6369
AL35222,8550
AL35223,11258
AL35224,6983
AL35226,26933
AL35228,11187
AL35233,204
AL35234,8034
AL35235,18872
AL35242,32244
AL35243,16535
AL35244,26955
AL352HH,0
AL35401,37764
AL35403,0
AL35404,19085
AL35405,31199
AL35406,10627
AL35441,1500
AL35442,6083
AL35443,2294
AL35444,3075
AL35446,1680
AL35447,3500
AL35452,3101
AL35453,8707
AL35456,3764
AL35457,79
AL35458,294
AL35459,882
AL35460,632
AL35461,2085
