Date,Location,Deaths,Injuries,Description
1/7/1980,"Stamps, Arkansas",1,0,"16-year-old Evan Hampton, high school freshman student at Stamps High School, waited in a classroom for 19-year-old student Mike Sanders, whom he immediately killed. Hampton went to the principal's office, turned in the gun and waited for his arrest by police."
3/20/1980,"Dallas, Texas",1,0,"49-year-old fifth grade teacher, Rosie Pearson, was killed in J. Leslie Patton School by an unknown assailant."
3/26/1980,"Big Rapids, Michigan",1,0,"Business professor Robert Brauer was killed in class by his 20-year-old student, Thomas Kakonis, at Ferris State College; Kakonis had failed an exam in his class. Kakonis is the son of an associate dean at the college."
10/31/1980,"Hueytown, Alabama",1,1,"17-year-old Rudy Farmer, pulled out a .22 caliber pistol and wounded a fellow student in the art room of Hueytown High School, he then turned his gun on himself."
1/27/1981,"Fayetteville, Arkansas",1,1,"19-year-old former freshman, James Howard Taylor, brought a 12-gauge single-shot shotgun into the Delta Delta Delta sorority house on the University of Arkansas campus. He entered the house at 5:45 p.m. and terrorized an initiation dinner. After attempting to negotiate a surrender, he was shot by police when he aimed his shot gun into the dining room."
4/17/1981,"Ann Arbor, Michigan",2,0,"As students fled their rooms, after a homemade firebomb set a minor blaze on the sixth floor hallway of Bursley Hall dormitory, 22-year-old psychology student, Leo E. Kelly Jr., fired a sawn-off 12-gauge shotgun at his University of Michigan schoolmates at point-blank range. 19-year-old pre-medical student, Edward Siwik, and 21-year-old resident advisor, Douglas C. McGreaham, died at hospitals a few hours later. Kelly had been dismissed from UM once and was on the verge of another dismissal because of falling grades. In 1982, he was convicted on two counts of first-degree murder and sentenced to life."
12/16/1981,"Portland, Oregon",2,0,"Shortly before noon in Engineering Hall on the school's campus in north Portland, 34-year-old University of Portland night janitor, John C. Holbrook, killed 37-year-old engineering teacher, Brian D. Massey, before taking his own life."
3/19/1982,"Las Vegas, Nevada",1,2,"17-year-old Valley High School student, Patrick Lizotte, killed his teacher Clarence Pigott and wounded two students."
4/7/1982,"Littleton, Colorado",1,0,"13-year-old Deer Creek Junior High School student, Scott Darwin Michael, was killed by 14-year-old classmate, Jason Price Rocha. Rocha was tried as an adult and sentenced to twelve years, plus one year of parole."
11/12/1982,"Jackson, Mississippi",2,0,"18-year-old school dropout, James Hartzog, killed his girlfriend, 17-year-old Faye Williams in her algebra class at Wingfield High School. Hartzog then took his own life."
1/20/1983,"St. Louis County, Missouri",2,1,"Eighth grade Parkway South Middle School student David F. Lawler entered a study hall classroom and opened fire, killing 15-year-old Randall Koger, and injuring 15-year-old Greg Saffo. Lawler then took his own life.|-"
5/16/1983,"Dallas, Texas",1,0,"Billy Conn Gardner, a friend of a food service worker's husband, robbed the Lake Highlands High School cafeteria manager at gun point as she was counting day's revenue in the office. Gardner shot her and took $1,600. He was later arrested, convicted, and sentenced to death for the crime."
2/24/1984,"Los Angeles, California",2,12,Tyrone Mitchell killed two people and wounded twelve others when shooting at students leaving 49th Street Elementary School.
4/20/1984,"Detroit, Michigan",1,0,"13-year-old Kelly Crittendon, was accidentally killed by two classmates in a classroom at the Precious Blood School."
5/17/1984,"Pleasant Hill, Iowa",2,0,"17-year-old student, Todd Dunahoo, killed 16-year-old Valerie Rockafellow in the hallway at Southeast Polk High School, then turned the gun on himself."
9/28/1984,"North Richland Hills, Texas",1,0,"1981 alumnus Barry Wayne Shaw returned to his alma mater Richland High School carrying a 9mm Uzi submachine gun, an AR-15 strapped across his neck and a .45-caliber pistol in a shoulder harness looking for Ms. Ball, his English teacher. Ms. Ball's classroom had recently moved across the campus, something Barry didn't know at the time. He ran across the roof and jumped down into the courtyard before entering the building and starting his search. After some time, he finally gave up the hunt, yelled out ""Homecoming, homecoming,"" and sprayed the school's foyer with 30 rounds of ammunition. His bullets struck windows and the ceiling, but none of the dozen or so students who were also in the foyer at the time. However, a male student was injured by flying debris. Principal Ray Williams arrived after Barry had fired his last shot to confront him. Barry threw both rifles at Ray, saying ""I did it."" Ray had Barry sit down and wait for the police while he inspected his students for injuries. Barry offered no resistance. He was wearing a white t-shirt under a khaki-colored vest with flap pockets, blue jeans and cowboy boots when he was arrested. Over the weekend, it was discovered that Barry had killed Dallas karate instructor Jimmy Glen Wilson and wounded Rudy Smedley earlier in the week with the submachine gun. He was charged with two counts of intent to commit murder, one count of retaliation and one count of murder."
10/24/1984,"Celina, Ohio",1,0,"45-year-old Shirley Shindeldecker, killed school bus driver 54-year-old Gene Green, as he stopped to pick up the son of Shindeldecker's estranged husband. After serving nineteen months of her sentence, Shindeldecker was found innocent by reason of insanity, and released."
1/21/1985,"Goddard, Kansas",1,3,"Armed with a rifle and a handgun, 14-year-old James Alan Kearbey, killed principal, James McGee, and wounded two teachers and a student at Goddard Junior High School."
10/18/1985,"Detroit, Michigan",0,6,"Murray-Wright High School shooting: During half-time of the homecoming football game between Northwestern and Murray-Wright high schools, a youth opened fire with a shotgun, injuring six students with whom he had fought earlier in the day."
11/27/1985,"Spanaway, Washington",3,0,"14-year-old Heather Smith, killed 15-year-old Gordon Pickett, who was her ex-boyfriend, and 14-year-old Christopher Ricco, in the gymnasium at Spanaway Junior High School. She later took her own life."
12/3/1985,"Concord, New Hampshire",1,0,"At Concord High School, Louis Cartier, a 16-year-old dropout, entered the school with a shotgun and took students hostage, 18-year-old Patrick Lena Lena and 16-year-old Scott Hayes. Responding police officers fatally shot him after he aimed at football coach, Don LeBrun."
12/10/1985,"Portland, Connecticut",1,2,"After being suspended for refusing to take off his hat while at school, 13-year-old student Floyd Warmsley pulled out a firearm at Portland Junior High School, shooting and wounding the 53-year-old school secretary Lynn Haddad, and killing 36-year-old janitor David Bangston."
3/6/1986,"Dolton, Illinois",0,1,"At about 9:40 a.m., as 52-year-old math teacher Norma Cooper`s third-period algebra class was beginning in a second-floor classroom in the C Building at Thornridge High School, she was shot in the shoulder by a freshman student, with a large-caliber handgun, registered to the youth`s father, a security guard. He is charged with attempted murder, unlawful use of a weapon and aggravated battery. The freshman, a resident of Harvey, was enrolled in the class and apparently had recently received poor grades."
4/29/1986,"Senath, Missouri",1,0,"A new student, 16-year-old Ritchie Overman, killed studious 15-year-old Leslie Lynn Wyatt, using a 20-gauge shotgun, in front of twenty-six ""totally horrified"" science class students and teacher Sheila Adams, at Senath-Hornersville High School."
5/9/1986,"Fayetteville, North Carolina",0,3,A 17-year-old student shot three classmates at Pine Forest High School with a .25-caliber handgun wounding them. One student was critically injured and treated for a neck wound.
5/16/1986,"Cokeville, Wyoming",2,74,"Cokeville Elementary School hostage crisis: 43-year-old former town marshal David Young, and his 47-year-old wife, Doris Young, took 136 children and eighteen adults hostage at Cokeville Elementary School."
12/4/1986,"Lewistown, Montana",1,3,"14-year-old Kristofer Hans intended to shoot his French teacher at Fergus High School, for a failing grade. Instead, Henrietta Smith, who was substituting for LaVonne Simonfy, was shot in the face and died. Hans fired several other shots as he fled, wounding vice principal John Moffatt, and two students. He then ran about a mile to his home, where he was arrested after the police surrounded his house. A classmate said Hans had repeatedly threatened to kill Ms. Simonfy, saying, ""I'm going to blow Simonfy's head off."" He was charged as an adult, convicted and sentenced to 206 years in prison."
2/4/1987,"Northridge, California",2,0,"35-year-old associate professor of Computer Science Djamshid (Amir) Asgari was confronted in the Engineering Building of California State University, Northridge by 25-year-old graduate student Fawwaz Abdin. Abdin was angry about a low grade Asgari had given him a year earlier, which caused him to be put on academic probation. After Asgari refused to change his grade, Abdin shot him twice, then himself. Asgari later died at the Northridge Hospital."
3/2/1987,"De Kalb, Missouri",2,0,"After constant teasing about his weight, 12-year-old honors student Nathan Ferris killed a 13-year-old classmate, Timothy Perrin, then turned the gun on himself."
4/16/1987,"Detroit, Michigan",1,2,"Murray-Wright High School second shooting: A ninth-grade student at Murray-Wright High School killed 17-year-old Chester Jackson, a student athlete, and wounded 17-year-old Damon Matthews, and 18-year-old Tomeka Turner."
9/28/1987,"Lansing, Illinois",0,1,"After being kicked off the soccer team for smoking on school grounds, 16-year-old student Blake Docter, of Illiana Christian High School wounded 44-year-old John Hoogewerf in the chest, the teacher who had reported him for smoking."
12/16/1987,"Katy, Texas",1,0,"After being refused a date from his classmate, 15 year-old Ramesh Guzman Tumalad shot and killed himself with a .357 Magnum revolver before 23 of his fellow freshman Algebra students at Mayde Creek High School. The evening prior to the shooting, the boy discussed committing suicide to the girl after she informed school administration of his obsession with her."
2/11/1988,"Largo, Florida",1,2,"Pinellas Park_High shooting: 15-year-old students, Jason Harless and Jason McCoy, took stolen .38-caliber revolvers to Pinellas Park High School. Harless shot two assistant principals and a student-teacher inside the school's cafeteria. 53-year-old Richard Allen died from his injuries, Nancy Blackwelder and intern Joseph Bloznalis were wounded."
5/20/1988,"Winnetka, Illinois",1,5,"30-year-old Laurie Dann, killed 8-year-old Nick Corwin, inside Hubbard Woods School. Five additional students were wounded. Dann later committed suicide after taking hostages in a nearby home."
7/10/1988,"Milwaukee, Wisconsin",0,1,"25-year-old Robin Jenkins, was shot in the elbow after a basketball game turned violent about 7:45 p.m.at Siefert Elementary School. A 28-year-old man was taken into custody the following day."
9/26/1988,"Greenwood, South Carolina",2,9,"Oakland Elementary School shooting: 19-year-old James William Wilson entered Oakland Elementary School and started firing shots in the cafeteria. Two students were wounded and a first-grade teacher. After reloading his gun in a girls' restroom, he was confronted by physical education teacher, Kat Finkbeiner, who tried to stop him; she was wounded twice. He then entered a third-grade classroom and shot toward the students, killing 8-year-olds Shequila Tawoon Bradley and Tequila Maria Thomas, and wounding five others."
11/22/1988,"Abilene, Texas",0,1,"16-year-old student Mason Staggs shot Cooper High School teacher, Rick Maloney in the face with a pistol, severely injuring the teacher. Staggs left the school and went fishing."
12/16/1988,"Virginia Beach, Virginia",1,1,"At Atlantic Shores Christian School, 16-year-old student Nicholas Elliott shot two teachers with a Mac-10 9-millimeter machine pistol, killing 41-year-old Karen Farley, and critically wounding 37-year-old Sam Marino, then began firing on a classroom full of students before the gun jammed and any students were hit."
1/17/1989,"Stockton, California",6,32,"Stockton schoolyard shooting: 24-year-old Patrick Edward Purdy fatally shot five children and wounded 32 others at the Cleveland Elementary School, before taking his own life. The victims were children of refugees from Southeast Asia. Purdy had a history of violence, alcoholism and drug addiction, and criminality."
2/10/1989,"Kearns, Utah",0,0,"At Thomas Jefferson Junior High School, a 12-year-old boy fired a handgun at a vice principal, William Crumbaugh. No one was injured."
12/5/1989,"McKeesport, Pennsylvania",1,1,"While riding the school bus, 16-year-old Serra Catholic High School student, Robert Butler, shot 16-year-old schoolmate, Adam Ference, in the back of the head before fatally shooting himself. Ference was in critical condition but survived."
3/27/1990,"Brooklyn, New York",0,1,"A black youth was taunted with racial slurs by three white youths in the stairwell of a public school in the Bensonhurst area of Brooklyn. The 14-year-old was then shot and slightly wounded, because he had acted as peacemaker when the same boys had clashed with another black teen the month before."
9/11/1990,"San Antonio, Texas",0,3,"3 students were wounded when gunfire broke out at Sam Houston High School. The incident took place at 11:55 a.m. and was gang related. 17-year-old John Campbell was wounded in the right foot, 18-year-old Larry Johnson was wounded in the right thigh and calf, and a 16-year-old received a chest wound. 18-year-old Kenneth Wolford, and two other male students were arrested and charged."
2/6/1991,"Donna, Texas",1,0,15-year-old Raul Calvo fatally shot himself while playing Russian roulette inside a biology classroom at Donna High School.
4/23/1991,"Compton, California",1,0,"A teenager aimed and fired a handgun at a security guard who had chased him and three friends off the grounds of Ralph J. Bunche Middle School. He instead killed 11-year-old Alejandro Vargas, a bystander and student at the school."
9/18/1991,"Crosby, Texas",1,0,"17-year-old Arthur Jermel Jack, was killed by 15-year-old LaKeeta Cadoree, in the cafeteria at Crosby High School."
11/1/1991,"Iowa City, Iowa",6,1,"University of Iowa shooting: 28-year-old former graduate student, Gang Lu, killed four members of University of Iowa's faculty and a research student, and seriously wounded another student. 47-year-old professor of physics and astronomy, Christoph K. Goertz, 45-year-old associate professor of physics and astronomy, Robert Alan Smith, 44-year-old chairman of the physics and astronomy department, Dwight R. Nicholson, 56-year-old associate vice president for academic affairs, Dr. Theresa Anne Cleary, shot in the head and died the following day, and 27-year-old research investigator in physics and astronomy, Dr. Shan Linhua. 23-year-old Miya Rodolfo-Sioson, Dr. Cleary's temporary student receptionist in the grievance office, survived but was left paralyzed from the neck down. Lu then shot himself in the head, he died shortly after police arrived."
11/25/1991,"Brooklyn, New York",1,0,"Thomas Jefferson High School shooting: During an argument between two teens, a stray bullet killed a third, uninvolved 16-year-old student. In 1992, 14-year-old shooter Jason Bentley, was sentenced to three to nine years in prison."
12/12/1991,"Kent, Ohio",1,0,"51-year-old custodian, John Frazier, was killed outside a campus auditorium of Kent State University."
1/29/1992,"Kent, Ohio",0,1,"26-year-old graduate student, Sarah Smith, was wounded in the chest as she was waiting for her husband to pick her up at Kent State University."
4/23/1992,"Bloomington, Indiana",3,0,"Indiana University graduate student, Susan Clements, was shot to death in her dorm by a former boyfriend before he committed suicide. A friend that attempted to intervene, Steven Molen, was also shot and critically injured; he died several days later. Indiana University."
2/26/1992,"Brooklyn, New York",2,0,"Thomas Jefferson High School second shooting: 15-year-old Kahlil Sumpter, killed fellow students, 16-year-old Tyrone Sinkler and 17-year-old Ian Moore, on the school's second-floor hallway. In 1993, he was sentenced to between 6⅔ and twenty years in prison. He was released on parole in 1998."
3/5/1992,"Obetz, Ohio",0,1,"Hamilton Middle School: Gordon W. Dye Jr. shot his bully Gregg Johnson in a with a .22-caliber pistol in the school cafeteria. Gregg was rushed to Children's Hospital in Columbus where doctors found the bullet and traced it's path. It had entered between Gregg's eyes and traveled the nasal sinuses where it shattered bones. Its trajectory was parallel to the bottom of the skull and was deflected by part of the skull base. This deflection sent the bullet on a downward path, to the adenoids."
5/1/1992,"Olivehurst, California",4,10,"Lindhurst High School shooting: Former student, 20-year-old Eric Houston, killed three students and one teacher, and wounded nine other students and teacher before surrendering to police."
9/11/1992,"Amarillo, Texas",0,7,"Following a pep rally, in a hallway near the activity center of Palo Duro High School, for the evening football match-up against Hereford High, 17 year old Randy Earl Matthews shot and wounded 7 students with a .22 caliber pistol. Matthews had attended the school for 9 days when the incident occurred and was believed to have been bullied at his previous school in Memphis Texas. Matthews was charged with one count attempted murder, five counts aggravated assault, and one count of unlawfully carrying a weapon onto school grounds. He served eight years.
[253]"
10/19/1992,"The Bronx, New York",0,3,Two 14-year-old girls and a 16-year-old boy were shot at outside a Bronx high school.
11/4/1992,"Detroit, Michigan",0,11,"11 students were hit by gunfire during a four-hour period in three separate school incidents, five were hospitalized. Six students at Finney High School were grazed by buckshot after three ski-masked gunmen opened fire in a crowded hallway. A 14-year-old was in custody for shooting three Foch Middle School students as they passed by the Marcus Garvey Academy. In the third incident, 16-year-old DeWayne Boyd was hit in the chest, when shots were fired at two Mumford High School students."
1/6/1993,"Brentwood, New York",0,1,"Brentwood High School. Former student, Matthew Hunter, was shot by two gunmen during a basketball game between Brentwood High School and Sachem High School. The assault was over a dispute about the theft of a gold chain."
1/18/1993,"Grayson, Kentucky",2,0,"East Carter High School shooting: 17-year-old Scott Pennington, a student at East Carter High School, fatally shot his 48-year-old English teacher, Deanna McDavid, and 52-year-old head custodian, Marvin Hicks."
2/22/1993,"Los Angeles, California",1,0,"15-year-old Robert Heard, fatally shot 17-year-old Michael Shean Ensley in the corridor of the Reseda High School's science building."
4/15/1993,"Acushnet, Massachusetts",1,0,44-year-old David Taber entered Ford Middle School and took three hostages. He killed school nurse Carol Day. He was found not guilty of the murder by reason of insanity.
5/14/1993,"Irving, Texas",1,0,"17-year-old Max Alexander Martinez, killed 17-year-old Jose Balderas, with a .38 caliber revolver in a hallway in Nimitz High School during a dispute over girls."
5/24/1993,"Pennsburg, Pennsylvania",1,0,15-year-old student Jason Smith killed another student who had bullied him at Upper Perkiomen High School. He was charged as an adult and sentenced to between twelve and twenty-five years in prison.
9/17/1993,"Sheridan, Wyoming",1,4,"29-year-old Kevin Newman, wounded four students before killing himself at Central Junior High School."
11/4/1993,"New Britain, Connecticut",1,0,"18-year-old Miguel DeJesus, was gunned down on the steps of New Britain High School. Rival gang members, 24-year-old Maurice Flanagan and 23-year-old Thomas Mejia, were charged."
12/1/1993,"Wauwatosa, Wisconsin",1,0,"Wauwatosa West High School shooting: 21-year-old former student, Leonard D. McDowell, shot 46-year-old associate principal, Dale Breitlow, three times with a revolver in a second-floor hallway of Wauwatosa West High School. McDowell was found guilty of the murder and sane at the time of the shooting, he was sentenced to life in prison. His sentence was upheld by the state Court of Appeals in April 1997."
1/24/1994,"Columbia, South Carolina",1,0,"18-year-old Floyd Eugene Brown, shot fellow Eau Claire High School student, 17-year-old Earnest Dunlap, following an argument the week before. Brown was arrested shortly after at his home. A 16-year-old boy was also arrested for kicking Dunlap after the shooting."
1/31/1994,"Seattle, Washington",1,0,"24-year-old Darrell Cloud, a former student at Whitman Middle School in North Seattle, killed 45-year-old Neal Summers, who had sexually abused Cloud since he was thirteen. Cloud served nine years in prison. He later received a $250,000 settlement in a civil suit against Seattle Schools, charging that Summers had not been adequately supervised."
2/18/1994,"Spartanburg, South Carolina",0,1,"At around 10 p.m., 24-year-old Roosevelt Johnson was shot in the leg, after a basketball game at Spartanburg High School."
3/1/1994,"Boonville, Missouri",2,0,"33-year-old Dante D. Hayes, a hunter and ex-convict, killed 58-year-old Richard Vancena, a cafeteria manager, and 33-year-old Robin Michelle Coleman, a cook, in the mess hall of Kemper Military School and College. He was drunk and looking for his wife Anna Hayes with whom he had a fight the night before. No students were harmed."
