Date,Location,Deaths,Injuries,Bullet Hits,School Type,Number of Attackers,Shooter Gender,Shooter Age,Suicide,Former Student
5/16/1986,"Cokeville, Wyoming",2,74,76,E,2,B,45,Y,N
4/16/2007,"Blacksburg, Virginia",33,23,56,U,1,M,23,Y,Y
1/17/1989,"Stockton, California",6,32,38,E,1,M,24,Y,N
4/20/1999,"Littleton, Colorado",15,21,36,H,2,M,18,Y,Y
2/14/2018,"Parkland, Florida",17,17,34,H,1,M,19,N,Y
12/14/2012,"Newtown, Connecticut",28,2,30,E,1,M,20,Y,N
5/21/1998,"Springfield, Oregon",4,23,27,H,1,M,15,N,Y
2/14/2008,"DeKalb, Illinois",6,21,27,U,1,M,27,Y,Y
11/14/2017,"Rancho Tehama Reserve, California",6,18,24,E,1,M,43,N,N
1/23/2018,"Marshall County, Kentucky",2,18,20,H,1,M,15,N,Y
5/18/2018,"Santa Fe, Texas",10,10,20,H,1,M,17,N,
10/1/2015,"Roseburg, Oregon",10,9,19,U,1,M,26,Y,Y
3/21/2005,"Red Lake, Minnesota",10,7,17,H,1,M,16,Y,Y
3/5/2001,"Santee, California",2,13,15,H,1,M,15,N,Y
3/24/1998,"Craighead County, Arkansas",5,10,15,M,2,M,12,N,Y
2/24/1984,"Los Angeles, California",2,12,14,E,1,M,28,Y,N
5/1/1992,"Olivehurst, California",4,10,14,H,1,M,20,N,Y
11/4/1992,"Detroit, Michigan",0,11,11,H,1,M,14,N,Y
9/26/1988,"Greenwood, South Carolina",2,9,11,E,1,M,19,N,N
10/1/1997,"Pearl, Mississippi",3,7,10,H,1,M,16,N,Y
6/7/2013,"Santa Monica, California",6,4,10,U,1,M,23,N,N
4/2/2012,"Oakland, California",7,3,10,U,1,M,43,N,N
10/2/2006,"Nickel Mines, Pennsylvania",6,3,9,F,1,M,32,Y,N
12/1/1997,"West Paducah, Kentucky",3,5,8,H,1,M,14,N,Y
9/11/1992,"Amarillo, Texas",0,7,7,H,1,M,17,N,Y
5/24/2015,"Flint, Michigan",0,7,7,E,2,M,0,N,
11/1/1991,"Iowa City, Iowa",6,1,7,U,1,M,28,Y,Y
10/18/1985,"Detroit, Michigan",0,6,6,H,1,M,16,N,Y
5/20/1999,"Conyers, Georgia",0,6,6,H,1,M,15,N,Y
12/6/1999,"Fort Gibson, Oklahoma",0,6,6,M,1,M,13,N,Y
5/20/1988,"Winnetka, Illinois",1,5,6,E,1,F,30,Y,N
3/31/2011,"Houston, Texas",1,5,6,H,2,M,18,N,Y
1/16/2002,"Grundy, Virginia",3,3,6,U,1,M,42,N,Y
2/12/2010,"Huntsville, Alabama",3,3,6,U,1,F,44,,Y
2/27/2012,"Chardon, Ohio",3,3,6,H,1,M,17,N,Y
10/24/2014,"Marysville, Washington",5,1,6,H,1,M,15,Y,Y
3/22/2001,"El Cajon, California",0,5,5,H,1,M,18,N,Y
9/17/2006,"Pittsburgh, Pennsylvania",0,5,5,U,,,,,
1/9/2009,"Chicago, Illinois",0,5,5,H,1,M,18,N,N
2/1/2018,"Los Angeles, California",0,5,5,M,1,F,12,N,Y
9/17/1993,"Sheridan, Wyoming",1,4,5,M,1,M,29,N,
11/7/1994,"Wickliffe, Ohio",1,4,5,M,1,M,37,N,Y
